published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
9/7/2021,515,517,495.4,498,-2.54,130062,65168370.4,-1
9/8/2021,507.9,507.9,485,490.3,-1.55,113583,55642767.2,-1
9/9/2021,494,499,486,491,0.14,106852,52422873.6,1
9/12/2021,500.8,505,489,504,2.65,100465,50111469.4,1
9/13/2021,510,512,500,506.9,0.58,84252,42659782.6,1
9/14/2021,507,511.9,501,502,-0.97,90104,45514312.1,-1
9/15/2021,500,502,493,497,-1,79000,39258339.4,-1
9/16/2021,495,495,480.6,481.3,-3.16,135986,65924443.7,-1
9/20/2021,481,489,468.6,468.6,-2.64,172577,81666280.2,-1
9/21/2021,469,484,455,470,0.3,120962,56940442.9,1
9/22/2021,479,510,478.1,510,8.51,245062,121746849.6,1
9/23/2021,520.2,549,520.2,528.4,3.61,638916,341583972.1,1
9/26/2021,529.9,532,515,518,-1.97,302896,157809123.5,-1
9/27/2021,518,518,500.8,507,-2.12,159371,80658476,-1
9/28/2021,499,510,492,499,-1.58,182729,91213887.5,-1
9/29/2021,508.9,511,494,510,2.2,121614,61476303.9,1
9/30/2021,520.2,520.2,500,504,-1.18,102748,52185870,-1
10/3/2021,504,506,496.5,498,-1.19,122633,61482539.3,-1
10/4/2021,500,505,488,498,0,90673,45044503.5,0
10/5/2021,506,506,497.6,501,0.6,107730,53893367.7,1
10/6/2021,509.5,514.7,502.1,509,1.6,81944,41729690.9,1
10/10/2021,519,519,509,512,0.59,154944,79337184.1,1
10/11/2021,519,520,504,512,0,196559,99985084.7,0
10/17/2021,522,522,503,510,-0.39,106071,53991240.5,-1
10/18/2021,510,510,496,499,-2.16,195487,98174493.6,-1
10/19/2021,500,500,480.2,490,-1.8,151621,73911659.7,-1
10/20/2021,498,504,490,493.9,0.8,106955,52948708.5,1
10/21/2021,500,500,487,488.8,-1.03,550763,271297609.8,-1
10/24/2021,418,418,394,402,-3.78,143104,57434054.9,-1
10/25/2021,402,405.9,395,403,0.25,104486,41926228.8,1
10/26/2021,410,410,401,402.6,-0.1,117960,47683085.3,-1
10/27/2021,405,412,398,408,1.34,108666,44215829.5,1
10/28/2021,410,414,403,403.5,-1.1,86887,35296989.5,-1
10/31/2021,405,408,402,405,0.37,142919,57764494,1
